id,platform,path,md5
2594177477745970_0,meta,data\meta_ads\images\amazon_india\2594177477745970_0.jpg,ed809a49f41cc222c75297e2a7e0a5f3
2631183560614849_0,meta,data\meta_ads\images\amazon_india\2631183560614849_0.jpg,4f2a3be0e6add7d14a0f3fce1b3b6d3c
26828845983460596_0,meta,data\meta_ads\images\amazon_india\26828845983460596_0.jpg,8c716396c52c8e2b0aef465562d1a223
27494570770208783_0,meta,data\meta_ads\images\amazon_india\27494570770208783_0.jpg,39134c844366b58fa153499004393ae0
27671984095787303_0,meta,data\meta_ads\images\amazon_india\27671984095787303_0.jpg,4ed65773fc5143be2be4b9c7ede0b35d
27826555433664347_0,meta,data\meta_ads\images\amazon_india\27826555433664347_0.jpg,a6f75e2bc85f6e5a63f57b4fc08a88c4
2809389449416189_0,meta,data\meta_ads\images\amazon_india\2809389449416189_0.jpg,6c3e3256c2a478e6fc07eb408ea375d1
28525237440394652_0,meta,data\meta_ads\images\amazon_india\28525237440394652_0.jpg,da7b97416ad68ee957667905af74c14f
28566891046247418_0,meta,data\meta_ads\images\amazon_india\28566891046247418_0.jpg,43e7d1c00cfc199727a588f07b4ce3b7
2861547507521849_0,meta,data\meta_ads\images\amazon_india\2861547507521849_0.jpg,66f4bcd86efe9d0c155a19cb0fbde007
2869113923433600_0,meta,data\meta_ads\images\amazon_india\2869113923433600_0.jpg,cf4ab5863afd41332b9eefafc2017b1e
2918869871796387_0,meta,data\meta_ads\images\amazon_india\2918869871796387_0.jpg,aeffc3b5953bd3b93d544973e46f8afe
2944220329247543_0,meta,data\meta_ads\images\amazon_india\2944220329247543_0.jpg,3e4347b63d6f568966155e84716e737e
3190191091186845_0,meta,data\meta_ads\images\amazon_india\3190191091186845_0.jpg,6c3e3256c2a478e6fc07eb408ea375d1
3197875920404772_0,meta,data\meta_ads\images\amazon_india\3197875920404772_0.jpg,2953242f874ce56a9078e5d693718e1e
3367315920086435_0,meta,data\meta_ads\images\amazon_india\3367315920086435_0.jpg,195d3f0d076cc475f973bd835d592c48
3383199528525465_0,meta,data\meta_ads\images\amazon_india\3383199528525465_0.jpg,39134c844366b58fa153499004393ae0
3638592642959565_0,meta,data\meta_ads\images\amazon_india\3638592642959565_0.jpg,ca1e4885589cebc64bd4c6b18b3f2bf0
37170414175890486_0,meta,data\meta_ads\images\amazon_india\37170414175890486_0.jpg,59ce466afbd66a9fd22ac5031962609e
37709810145276403_0,meta,data\meta_ads\images\amazon_india\37709810145276403_0.jpg,507bb9d9b4e4d891d787f2bc1e4d3017
3911444095829318_0,meta,data\meta_ads\images\amazon_india\3911444095829318_0.jpg,7ff285a5b24a60dcd29bbf091285c22a
3944671842501719_0,meta,data\meta_ads\images\amazon_india\3944671842501719_0.jpg,57d254db07e4fb6af087faf0b5898048
4460530814180014_0,meta,data\meta_ads\images\amazon_india\4460530814180014_0.jpg,7003a83dcdefe93028016a91ffa03823
4562426090706577_0,meta,data\meta_ads\images\amazon_india\4562426090706577_0.jpg,fb8f94ae8ff62054bfeb6089c7f84562
4628320980716275_0,meta,data\meta_ads\images\amazon_india\4628320980716275_0.jpg,18ea8359579c5ee1a72f286c1be28c2d
4831606400399597_0,meta,data\meta_ads\images\amazon_india\4831606400399597_0.jpg,e87282442c31d7528ac4b59d7e36f8a5
696790256833024_0,meta,data\meta_ads\images\amazon_india\696790256833024_0.jpg,7adb3f6fd8764033cdec31c31dc58d4f
712045441960275_0,meta,data\meta_ads\images\amazon_india\712045441960275_0.jpg,6f1697962fd4690498403aec33a1f9af
779093718485837_0,meta,data\meta_ads\images\amazon_india\779093718485837_0.jpg,fe4f43d5c665e7516840e974e0e3133b
804845415937387_0,meta,data\meta_ads\images\amazon_india\804845415937387_0.jpg,bf1e023fc5f76046bafe4f95a783114a
815663921255359_0,meta,data\meta_ads\images\amazon_india\815663921255359_0.jpg,7f8352402d1157e04dd4c8ec29beebeb
859557130211544_0,meta,data\meta_ads\images\amazon_india\859557130211544_0.jpg,d005664df8155c0234d25c05bf15676b
869557799561531_0,meta,data\meta_ads\images\amazon_india\869557799561531_0.jpg,842055940b45000b2d0e4f42d60127e7
880485241795425_0,meta,data\meta_ads\images\amazon_india\880485241795425_0.jpg,ad5ca95f2aecfc9ed773a827b7fdf84a
880618857941725_0,meta,data\meta_ads\images\amazon_india\880618857941725_0.jpg,f65b6b90395006b0ff701cfa6eb0439a
888158257086031_0,meta,data\meta_ads\images\amazon_india\888158257086031_0.jpg,10db8c43f423db08ee94acb8d8d399e0
900452635702834_0,meta,data\meta_ads\images\amazon_india\900452635702834_0.jpg,5a5ee8095c1250346b674fac1c8bcc97
905834955882718_0,meta,data\meta_ads\images\amazon_india\905834955882718_0.jpg,ed809a49f41cc222c75297e2a7e0a5f3
915816511546138_0,meta,data\meta_ads\images\amazon_india\915816511546138_0.jpg,788dd1629f01bf7d676e830aa88419f5
916151154842811_0,meta,data\meta_ads\images\amazon_india\916151154842811_0.jpg,b57a9465801bcd9395cc59d2d4ca63d6
923848480741628_0,meta,data\meta_ads\images\amazon_india\923848480741628_0.jpg,507bb9d9b4e4d891d787f2bc1e4d3017
947427211689230_0,meta,data\meta_ads\images\amazon_india\947427211689230_0.jpg,8acd4293fb24d635999f070f57465a0d
951031221325807_0,meta,data\meta_ads\images\amazon_india\951031221325807_0.jpg,e87282442c31d7528ac4b59d7e36f8a5
953597221038883_0,meta,data\meta_ads\images\amazon_india\953597221038883_0.jpg,6f8b66cbc57815c3f9e501ff7d6fba61
968207286264322_0,meta,data\meta_ads\images\amazon_india\968207286264322_0.jpg,6c3e3256c2a478e6fc07eb408ea375d1
979576178382434_0,meta,data\meta_ads\images\amazon_india\979576178382434_0.jpg,0d31aa3db85f74654d473e2091c9444d
983151207879301_0,meta,data\meta_ads\images\amazon_india\983151207879301_0.jpg,eb41f8d6862ac272259ccbde36ad0da8
987163980756056_0,meta,data\meta_ads\images\amazon_india\987163980756056_0.jpg,f9152dddef29a7721ed90f3eb99b9ca4
999032499394325_0,meta,data\meta_ads\images\amazon_india\999032499394325_0.jpg,61ad60b627e2408660b6448d07bcf325
999878735997642_0,meta,data\meta_ads\images\amazon_india\999878735997642_0.jpg,05340edd850abcdb06c969a595aea2f8
1005241105682883_0,meta,data\meta_ads\images\bewakoof\1005241105682883_0.jpg,b01029801cec8f71a6685b1b15ced099
1007679125502282_0,meta,data\meta_ads\images\bewakoof\1007679125502282_0.jpg,454c1f7e3e777d4ce59cc9f5554a375f
1009821538542337_0,meta,data\meta_ads\images\bewakoof\1009821538542337_0.jpg,3cb9d54cde560629ab187574c7b4cd35
